,Cumulative Winnings
987,-169272
988,-168917
989,-171317
990,-170759
991,-170132
992,-169932
993,-170531
994,-164299
995,-164199
996,-165609
997,-165343
998,-165143
999,-159743
1000,-159543
1001,-158343
1002,-157543
1003,-157315
1004,-157115
1005,-157015
1006,-156464
1007,-155864
1008,-160664
1009,-160564
1010,-160364
1011,-161499
1012,-160699
1013,-160599
1014,-161479
1015,-166879
1016,-166377
1017,-166277
1018,-166077
1019,-165977
1020,-165416
1021,-168116
1022,-169236
1023,-169136
1024,-168936
1025,-168736
1026,-167737
1027,-170111
1028,-188111
1029,-187511
1030,-187311
1031,-189111
1032,-188217
1033,-187617
1034,-186817
1035,-184117
1036,-183917
1037,-183817
1038,-191017
1039,-190417
1040,-190217
1041,-188753
1042,-188226
1043,-186584
1044,-186384
1045,-186084
1046,-187084
1047,-185718
1048,-185668
1049,-185568
1050,-185368
1051,-186568
1052,-187397
1053,-187297
1054,-187097
1055,-186797
1056,-186597
1057,-186497
1058,-186297
1059,-188097
1060,-187487
1061,-188032
1062,-188359
1063,-188059
1064,-187859
1065,-190259
1066,-190059
1067,-189959
1068,-189759
1069,-191559
1070,-191359
1071,-191759
1072,-191333
1073,-191233
1074,-190905
1075,-190223
1076,-189833
1077,-189733
1078,-190275
1079,-190905
1080,-190705
1081,-190005
1082,-189805
1083,-188605
1084,-181405
1085,-181005
1086,-181665
1087,-181565
1088,-181209
1089,-184809
1090,-184374
1091,-187974
1092,-187374
1093,-186834
1094,-186634
1095,-186534
1096,-186334
1097,-186034
1098,-185834
1099,-185734
1100,-185334
1101,-185814
1102,-188214
1103,-182473
1104,-183136
1105,-186376
1106,-185957
1107,-185554
1108,-187701
1109,-188682
1110,-187882
1111,-187582
1112,-187382
1113,-187282
1114,-185808
1115,-185208
1116,-185008
1117,-185308
1118,-184477
1119,-188257
1120,-188057
1121,-189257
1122,-189057
1123,-189857
1124,-189657
1125,-190457
1126,-190757
1127,-193157
1128,-192857
1129,-192757
1130,-192557
1131,-191954
1132,-211954
1133,-217354
1134,-217154
1135,-216954
1136,-216754
1137,-219994
1138,-219794
1139,-222194
1140,-222694
1141,-226000
1142,-225800
1143,-226700
1144,-226500
1145,-226900
1146,-225700
1147,-225600
1148,-224924
1149,-224824
1150,-224624
1151,-224524
1152,-224324
1153,-224842
1154,-224642
1155,-231842
1156,-231642
1157,-234042
1158,-233842
1159,-233742
1160,-234055
1161,-236455
1162,-235688
1163,-235487
1164,-237885
1165,-238485
1166,-237643
1167,-237543
1168,-236743
1169,-237235
1170,-238016
1171,-237916
1172,-237866
1173,-237666
1174,-237466
1175,-237466
1176,-236906
1177,-236806
1178,-234650
1179,-234550
1180,-233993
1181,-235793
1182,-235593
1183,-235493
1184,-234103
1185,-233503
1186,-233303
1187,-231503
1188,-231303
1189,-231003
1190,-230576
1191,-230776
1192,-250776
1193,-249576
1194,-249526
1195,-249226
1196,-250284
1197,-249884
1198,-249884
1199,-249784
1200,-250184
1201,-249584
1202,-250289
1203,-250801
1204,-252065
1205,-251965
1206,-252602
1207,-254402
1208,-254202
1209,-255241
1210,-254772
1211,-254972
1212,-254772
1213,-255172
1214,-254772
1215,-254672
1216,-257157
1217,-256857
1218,-255657
1219,-256377
1220,-257615
1221,-259121
1222,-258921
1223,-258721
1224,-259706
1225,-259506
1226,-262706
1227,-266406
1228,-271806
1229,-271706
1230,-271506
1231,-271406
1232,-276806
1233,-277539
1234,-277339
1235,-276739
1236,-276689
1237,-276589
1238,-277089
1239,-276804
1240,-277364
1241,-276669
1242,-277138
1243,-278338
1244,-278288
1245,-280688
1246,-279504
1247,-278949
1248,-278749
1249,-274870
1250,-275286
1251,-272766
1252,-272566
1253,-270766
1254,-270402
1255,-269802
1256,-269752
1257,-269652
1258,-269052
1259,-269457
1260,-280257
1261,-280000
1262,-279490
1263,-279290
1264,-279090
1265,-280252
1266,-280202
1267,-282722
1268,-282522
1269,-282322
1270,-280791
1271,-280491
1272,-280441
1273,-279841
1274,-280341
1275,-280911
1276,-281462
1277,-281362
1278,-281162
1279,-279962
1280,-279478
1281,-280750
1282,-280550
1283,-278814
1284,-277574
1285,-280340
1286,-278540
1287,-277897
1288,-279997
1289,-281197
1290,-281147
1291,-279622
1292,-279422
1293,-280122
1294,-279922
1295,-278358
1296,-280518
1297,-280418
1298,-280218
1299,-279801
1300,-279428
1301,-279218
1302,-281810
1303,-281710
1304,-281254
1305,-281043
1306,-280993
1307,-279793
1308,-279593
1309,-273743
1310,-274396
1311,-274296
1312,-274898
1313,-274408
1314,-274208
1315,-274108
1316,-273908
1317,-293908
1318,-293346
1319,-298626
