,Cumulative Winnings
868,-189199.5
869,-188899.5
870,-188699.5
871,-188599.5
872,-188749.5
873,-188824.5
874,-188774.5
875,-188674.5
876,-188374.5
877,-188274.5
878,-187974.5
879,-187974.5
880,-187674.5
881,-187574.5
882,-187524.5
883,-187424.5
884,-187124.5
885,-187124.5
886,-186924.5
887,-186999.5
888,-187149.5
889,-187599.5
890,-187399.5
891,-187299.5
892,-186799.5
893,-186199.5
894,-185999.5
895,-186074.5
896,-185874.5
897,-185949.5
898,-185549.5
899,-185449.5
900,-185249.5
901,-184949.5
902,-183749.5
903,-183824.5
904,-183624.5
905,-183324.5
906,-182924.5
907,-182999.5
908,-183299.5
909,-183199.5
910,-182599.5
911,-182499.5
912,-182299.5
913,-182299.5
914,-182449.5
915,-182349.5
916,-182149.5
917,-182049.5
918,-181749.5
919,-181449.5
920,-180699.5
921,-180774.5
922,-180474.5
923,-180924.5
924,-180724.5
925,-180624.5
926,-180624.5
927,-180524.5
928,-180324.5
929,-180224.5
930,-180174.5
931,-180074.5
932,-179874.5
933,-179874.5
934,-180024.5
935,-179924.5
936,-179724.5
937,-179624.5
938,-179224.5
939,-178824.5
940,-178974.5
941,-179049.5
942,-179199.5
943,-179099.5
944,-178899.5
945,-178299.5
946,-178449.5
947,-178349.5
948,-178149.5
949,-178049.5
950,-177749.5
951,-177449.5
952,-177399.5
953,-177099.5
954,-177249.5
955,-178599.5
956,-178399.5
957,-178299.5
958,-177899.5
959,-177799.5
960,-177749.5
961,-177824.5
962,-176574.5
963,-181749.5
964,-181899.5
965,-181974.5
966,-182124.5
967,-182024.5
968,-202024.5
969,-201924.5
970,-201924.5
971,-201624.5
972,-201324.5
973,-201399.5
974,-197399.5
975,-196999.5
976,-196799.5
977,-216799.5
978,-217249.5
979,-217699.5
980,-217499.5
981,-217574.5
982,-217374.5
983,-217274.5
984,-216074.5
985,-215774.5
986,-216224.5
987,-216224.5
988,-215924.5
989,-215824.5
990,-215624.5
991,-215524.5
992,-215674.5
993,-218374.5
994,-218374.5
995,-218274.5
996,-217974.5
997,-218124.5
998,-216374.5
999,-216074.5
1000,-216224.5
1001,-216124.5
1002,-216274.5
1003,-216174.5
1004,-215874.5
1005,-215949.5
1006,-215549.5
1007,-215624.5
1008,-215424.5
1009,-215324.5
1010,-215124.5
1011,-215274.5
1012,-215074.5
1013,-214974.5
1014,-214924.5
1015,-214824.5
1016,-214974.5
1017,-214974.5
1018,-214674.5
1019,-216174.5
1020,-215874.5
1021,-216324.5
1022,-216124.5
1023,-216124.5
1024,-216074.5
1025,-215974.5
1026,-216124.5
1027,-216199.5
1028,-215899.5
1029,-215899.5
1030,-215849.5
1031,-215749.5
1032,-215749.5
1033,-215824.5
1034,-215624.5
1035,-215699.5
1036,-215199.5
1037,-214899.5
1038,-214699.5
1039,-214599.5
1040,-234599.5
1041,-234299.5
1042,-254299.5
1043,-254449.5
1044,-254049.5
1045,-253749.5
1046,-253899.5
1047,-253799.5
1048,-253499.5
1049,-253574.5
1050,-256574.5
1051,-256474.5
1052,-256274.5
1053,-256349.5
1054,-256299.5
1055,-256199.5
1056,-255599.5
1057,-255299.5
1058,-254999.5
1059,-254899.5
1060,-254699.5
1061,-255149.5
1062,-255099.5
1063,-254999.5
1064,-255449.5
1065,-256349.5
1066,-256049.5
1067,-255649.5
1068,-255449.5
1069,-255349.5
1070,-255499.5
1071,-255574.5
1072,-253774.5
1073,-253374.5
1074,-253074.5
1075,-252974.5
1076,-253424.5
1077,-253424.5
1078,-253574.5
1079,-253574.5
1080,-253574.5
1081,-253649.5
1082,-253349.5
1083,-253249.5
1084,-273249.5
1085,-273324.5
1086,-273124.5
1087,-272824.5
1088,-272974.5
1089,-272874.5
1090,-273024.5
1091,-272924.5
1092,-273074.5
1093,-273149.5
1094,-272949.5
1095,-272849.5
1096,-272649.5
1097,-272549.5
1098,-272699.5
1099,-273149.5
1100,-273099.5
1101,-272999.5
1102,-273149.5
1103,-273149.5
1104,-273449.5
1105,-273349.5
1106,-273499.5
1107,-273574.5
1108,-273374.5
1109,-273274.5
1110,-272874.5
1111,-272774.5
1112,-273074.5
1113,-272974.5
1114,-272774.5
1115,-272849.5
1116,-272799.5
1117,-272399.5
1118,-272199.5
1119,-273099.5
1120,-272899.5
1121,-272599.5
1122,-272549.5
1123,-272549.5
1124,-272349.5
1125,-272049.5
1126,-271849.5
1127,-271649.5
1128,-271349.5
1129,-271799.5
1130,-271949.5
1131,-272399.5
1132,-272199.5
1133,-272199.5
1134,-272949.5
1135,-273024.5
1136,-280524.5
1137,-280424.5
1138,-280424.5
1139,-280424.5
1140,-280574.5
1141,-280474.5
1142,-280174.5
1143,-280174.5
1144,-279974.5
1145,-279874.5
1146,-279124.5
1147,-279199.5
1148,-279349.5
1149,-280399.5
1150,-280549.5
1151,-280549.5
1152,-280149.5
1153,-280049.5
1154,-279999.5
1155,-279699.5
1156,-279499.5
1157,-279399.5
1158,-279199.5
1159,-279099.5
1160,-279049.5
1161,-278649.5
1162,-278649.5
1163,-278649.5
1164,-276849.5
1165,-276924.5
1166,-276924.5
1167,-276824.5
1168,-276424.5
1169,-276424.5
1170,-276224.5
1171,-276124.5
1172,-276274.5
1173,-276174.5
1174,-273474.5
1175,-273374.5
1176,-273524.5
1177,-273424.5
1178,-273224.5
1179,-273124.5
1180,-273424.5
1181,-273499.5
1182,-273649.5
1183,-273724.5
1184,-273724.5
1185,-273624.5
1186,-273574.5
1187,-273649.5
1188,-273349.5
1189,-272649.5
1190,-252649.5
1191,-252724.5
1192,-252874.5
1193,-252774.5
1194,-252724.5
1195,-252799.5
1196,-272799.5
1197,-272874.5
1198,-271674.5
1199,-268974.5
1200,-269124.5
1201,-269024.5
1202,-268624.5
1203,-268524.5
1204,-268474.5
1205,-268549.5
1206,-267349.5
1207,-267424.5
1208,-266224.5
1209,-266124.5
1210,-265824.5
1211,-265899.5
1212,-265699.5
1213,-265599.5
1214,-265199.5
1215,-265099.5
1216,-264899.5
1217,-264799.5
1218,-264749.5
1219,-264824.5
1220,-264224.5
1221,-263624.5
1222,-263774.5
1223,-263674.5
1224,-263474.5
1225,-263549.5
1226,-263249.5
1227,-263324.5
1228,-262924.5
1229,-262824.5
1230,-262974.5
1231,-262874.5
1232,-262574.5
1233,-262649.5
1234,-262449.5
1235,-262149.5
1236,-261949.5
1237,-262399.5
1238,-262199.5
1239,-261899.5
1240,-261149.5
1241,-260949.5
1242,-260749.5
1243,-260824.5
1244,-260824.5
1245,-260724.5
1246,-259974.5
1247,-260124.5
1248,-260574.5
1249,-260474.5
1250,-260624.5
1251,-260324.5
1252,-260474.5
1253,-260374.5
1254,-260374.5
1255,-259474.5
1256,-259174.5
1257,-259074.5
1258,-258874.5
1259,-258774.5
1260,-258574.5
1261,-258474.5
1262,-258424.5
1263,-258324.5
1264,-258774.5
1265,-260274.5
1266,-260424.5
1267,-260324.5
1268,-260774.5
1269,-260674.5
1270,-260674.5
1271,-260749.5
1272,-260749.5
1273,-260824.5
1274,-268324.5
1275,-268324.5
1276,-268474.5
1277,-268374.5
1278,-268174.5
1279,-267874.5
1280,-267674.5
1281,-267574.5
1282,-267174.5
1283,-267074.5
1284,-266474.5
1285,-266374.5
1286,-266174.5
1287,-266074.5
1288,-266024.5
1289,-265924.5
1290,-265724.5
1291,-265324.5
1292,-265274.5
1293,-265724.5
1294,-265524.5
1295,-265424.5
1296,-265124.5
1297,-265024.5
1298,-264824.5
1299,-264524.5
1300,-264124.5
1301,-264124.5
1302,-263924.5
1303,-260324.5
1304,-260124.5
1305,-260124.5
1306,-259824.5
1307,-259524.5
1308,-259674.5
1309,-259574.5
1310,-259274.5
1311,-259174.5
1312,-258974.5
1313,-258674.5
1314,-256874.5
1315,-256774.5
1316,-256574.5
1317,-256274.5
1318,-256424.5
1319,-256874.5
1320,-257024.5
1321,-257099.5
1322,-256799.5
1323,-254399.5
1324,-254099.5
1325,-253999.5
1326,-273999.5
1327,-273899.5
1328,-275774.5
1329,-275674.5
1330,-275374.5
1331,-295374.5
1332,-295174.5
1333,-294874.5
1334,-294574.5
1335,-294649.5
1336,-294649.5
1337,-294349.5
1338,-274349.5
1339,-274249.5
1340,-273949.5
1341,-273649.5
1342,-273449.5
1343,-273349.5
1344,-273299.5
1345,-273199.5
1346,-272999.5
1347,-272699.5
1348,-272849.5
1349,-272924.5
1350,-272924.5
1351,-272999.5
1352,-272599.5
1353,-272499.5
1354,-272099.5
1355,-271799.5
1356,-271949.5
1357,-271849.5
1358,-271649.5
1359,-270949.5
1360,-269949.5
1361,-269199.5
1362,-268699.5
1363,-268399.5
1364,-271774.5
1365,-271474.5
1366,-271274.5
1367,-271174.5
1368,-270874.5
1369,-270874.5
1370,-271024.5
1371,-270824.5
1372,-270774.5
1373,-270674.5
1374,-270374.5
1375,-270274.5
1376,-270074.5
1377,-269974.5
1378,-272674.5
1379,-272574.5
1380,-272274.5
1381,-272174.5
1382,-272124.5
1383,-272199.5
1384,-270199.5
1385,-270274.5
1386,-270424.5
1387,-270874.5
1388,-271024.5
1389,-270924.5
1390,-270724.5
